,country_code,Job Title,Gender,Quantity,Percentage
0,AT,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,2,2%
1,AT,Automatic Data Processing Planner,Female,1,1%
2,AT,Automatic Data Processing Planner,Male,1,1%
3,AT,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Male,2,2%
4,AT,Clinical Data Specialist,Male,1,1%
5,AT,Computer or Data Processing Systems Consultant,Female,1,1%
6,AT,Computer or Data Processing Systems Consultant,Male,2,2%
7,AT,Crime Data Specialist,Male,1,1%
8,AT,Data Administrator,Female,1,1%
9,AT,Data Base Design Analyst,Female,1,1%
10,AT,Data Base Design Analyst,Male,1,1%
11,AT,Data Coder Operator,Male,1,1%
12,AT,Data Communications Software Consultant,Female,1,1%
13,AT,Data Communications Software Consultant,Male,1,1%
14,AT,Data Coordinator,Male,2,2%
15,AT,Data Entry Representative,Female,1,1%
16,AT,Data Entry Specialist,Female,1,1%
17,AT,Data Keyer,Male,1,1%
18,AT,Data Management Associate,Male,1,1%
19,AT,Data Management Information Technology Specialist,Female,1,1%
20,AT,Data Officer,Male,2,2%
21,AT,Data Processing Auditor,Female,2,2%
22,AT,Data Processing Auditor,Male,1,1%
23,AT,Data Processing Systems Project Planner,Male,1,1%
24,AT,Data Security Analyst,Male,2,2%
25,AT,Data Systems Manager,Female,1,1%
26,AT,Data Warehouse Developer,Male,1,1%
27,AT,Data Warehousing Engineer,Female,2,2%
28,AT,Data Warehousing Engineer,Male,3,3%
29,AT,Data Warehousing Manager,Female,1,1%
30,AT,Database Administration Associate,Male,1,1%
31,AT,Database Administration Manager,Male,1,1%
32,AT,Database Architect,Male,1,1%
33,AT,Database Coordinator,Male,1,1%
34,AT,Database Design Analyst,Male,1,1%
35,AT,Database Developer,Female,1,1%
36,AT,Database Development and Administration Project Manager,Female,1,1%
37,AT,Database Engineer,Female,1,1%
38,AT,Database Engineer,Male,1,1%
39,AT,Database Manager,Female,1,1%
40,AT,Database Marketing Analyst,Male,1,1%
41,AT,Database Modeler,Female,1,1%
42,AT,Database Security Administrator,Female,1,1%
43,AT,Database Security Administrator,Male,2,2%
44,AT,Database Security Expert,Male,1,1%
45,AT,Database Software Technician,Male,2,2%
46,AT,Databases Computer Consultant,Male,1,1%
47,AT,Director of Data Operations,Male,1,1%
48,AT,Electronic Data Processing Auditor (EDP Auditor),Male,1,1%
49,AT,Field Artillery Automated Tactical Data System Specialist,Female,1,1%
50,AT,GPS Field Data Collector (Global Positioning System Field Data Collector),Male,1,1%
51,AT,Geographic Information Systems Data Administrator (GIS Data Administrator),Male,1,1%
52,AT,Geographic Information Systems Data Manager (GIS Data Manager),Male,1,1%
53,AT,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,1,1%
