,Country,Job Title,Gender,Quantity,Percentage
0,Austria,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,2,2%
1,Austria,Automatic Data Processing Planner,Female,1,1%
2,Austria,Automatic Data Processing Planner,Male,1,1%
3,Austria,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Male,2,2%
4,Austria,Clinical Data Specialist,Male,1,1%
5,Austria,Computer or Data Processing Systems Consultant,Female,1,1%
6,Austria,Computer or Data Processing Systems Consultant,Male,2,2%
7,Austria,Crime Data Specialist,Male,1,1%
8,Austria,Data Administrator,Female,1,1%
9,Austria,Data Base Design Analyst,Female,1,1%
10,Austria,Data Base Design Analyst,Male,1,1%
11,Austria,Data Coder Operator,Male,1,1%
12,Austria,Data Communications Software Consultant,Female,1,1%
13,Austria,Data Communications Software Consultant,Male,1,1%
14,Austria,Data Coordinator,Male,2,2%
15,Austria,Data Entry Representative,Female,1,1%
16,Austria,Data Entry Specialist,Female,1,1%
17,Austria,Data Keyer,Male,1,1%
18,Austria,Data Management Associate,Male,1,1%
19,Austria,Data Management Information Technology Specialist,Female,1,1%
20,Austria,Data Officer,Male,2,2%
21,Austria,Data Processing Auditor,Female,2,2%
22,Austria,Data Processing Auditor,Male,1,1%
23,Austria,Data Processing Systems Project Planner,Male,1,1%
24,Austria,Data Security Analyst,Male,2,2%
25,Austria,Data Systems Manager,Female,1,1%
26,Austria,Data Warehouse Developer,Male,1,1%
27,Austria,Data Warehousing Engineer,Female,2,2%
28,Austria,Data Warehousing Engineer,Male,3,3%
29,Austria,Data Warehousing Manager,Female,1,1%
30,Austria,Database Administration Associate,Male,1,1%
31,Austria,Database Administration Manager,Male,1,1%
32,Austria,Database Architect,Male,1,1%
33,Austria,Database Coordinator,Male,1,1%
34,Austria,Database Design Analyst,Male,1,1%
35,Austria,Database Developer,Female,1,1%
36,Austria,Database Development and Administration Project Manager,Female,1,1%
37,Austria,Database Engineer,Female,1,1%
38,Austria,Database Engineer,Male,1,1%
39,Austria,Database Manager,Female,1,1%
40,Austria,Database Marketing Analyst,Male,1,1%
41,Austria,Database Modeler,Female,1,1%
42,Austria,Database Security Administrator,Female,1,1%
43,Austria,Database Security Administrator,Male,2,2%
44,Austria,Database Security Expert,Male,1,1%
45,Austria,Database Software Technician,Male,2,2%
46,Austria,Databases Computer Consultant,Male,1,1%
47,Austria,Director of Data Operations,Male,1,1%
48,Austria,Electronic Data Processing Auditor (EDP Auditor),Male,1,1%
49,Austria,Field Artillery Automated Tactical Data System Specialist,Female,1,1%
50,Austria,GPS Field Data Collector (Global Positioning System Field Data Collector),Male,1,1%
51,Austria,Geographic Information Systems Data Administrator (GIS Data Administrator),Male,1,1%
52,Austria,Geographic Information Systems Data Manager (GIS Data Manager),Male,1,1%
53,Austria,Geographic Information Systems Data Specialist (GIS Data Specialist),Male,1,1%
54,Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),Female,2,2%
55,Austria,Geographic Information Systems Database Administrator (GIS Database Administrator),Male,2,2%
56,Austria,Internet Database Specialist,Male,1,1%
57,Austria,Maintenance Data Analyst,Female,1,1%
58,Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",Female,1,1%
59,Austria,"Naval Tactical Data System--Combat Information Center Watch Officer, General",Male,1,1%
60,Austria,Not working,Female,29,30%
61,Austria,Not working,Male,30,31%
62,Belgium,Automatic Data Processing Customer Liaison (ADP Customer Liaison),Male,1,1%
63,Belgium,Automatic Data Processing Planner,Male,2,2%
64,Belgium,Automatic Data Processing Planner (ADP Planner),Male,1,1%
65,Belgium,Automatic Data Processing Systems Security Specialist (ADP Systems Security),Male,2,2%
66,Belgium,Clinical Data Associate,Female,2,2%
67,Belgium,Clinical Data Associate,Male,1,1%
68,Belgium,Clinical Data Coordinator,Male,1,1%
69,Belgium,Crime Data Specialist,Female,1,1%
70,Belgium,Data Administrator,Female,1,1%
71,Belgium,Data Administrator,Male,2,2%
72,Belgium,Data Architect,Female,1,1%
73,Belgium,Data Architect,Male,2,2%
74,Belgium,Data Base Design Analyst,Male,1,1%
75,Belgium,Data Capture Specialist,Male,1,1%
76,Belgium,Data Collector,Female,1,1%
77,Belgium,Data Communications Analyst,Male,1,1%
78,Belgium,Data Coordinator,Male,1,1%
79,Belgium,Data Entry Associate,Female,1,1%
80,Belgium,Data Entry Representative,Male,1,1%
81,Belgium,Data Entry Specialist,Male,1,1%
82,Belgium,Data Management Associate,Female,1,1%
83,Belgium,Data Management Information Technology Specialist,Female,1,1%
84,Belgium,Data Management Information Technology Specialist,Male,1,1%
85,Belgium,Data Manager,Male,1,1%
86,Belgium,Data Miner,Female,1,1%
87,Belgium,Data Officer,Female,2,2%
88,Belgium,Data Officer,Male,2,2%
